Domain,Category,Metric,Catalan,German
Educació,Domain Label,educacio,Educació,Bildung
Educació,Metric Label,ratio,Ràtio alumnat per docent,Schüler-Lehrer-Verhältnis
Educació,Metric Unit,ratio,alumnes,Schüler
Educació,Metric Label,despesa,Despesa pública per alumne,Öffentliche Ausgaben pro Schüler
Educació,Metric Unit,despesa,CHF/any,CHF/Jahr
Educació,Metric Label,titulacio,Titulació de secundària II als 25 anys,Sekundärschulabschluss II im Alter von 25 Jahren
Educació,Metric Unit,titulacio,%,%
Educació,Metric Label,dual,Alumnat en formació professional dual,Auszubildende in dualer beruflicher Ausbildung
Educació,Metric Unit,dual,%,%
Educació,Metric Label,digital,Centres amb infraestructura digital completa,Schulen mit vollständiger digitaler Infrastruktur
Educació,Metric Unit,digital,%,%
Educació,Data Source,ratio,BFS Estadística escolar,BFS · Schulstatistik
Educació,Data Source,despesa,BFS Contes de l'educació,BFS · Bildungskonten
Educació,Data Source,titulacio,BFS Enquesta de força de treball,BFS · Erwerbstätigkeitserhebung
Educació,Data Source,dual,BFS Registre d'aprenents,BFS · Lehrstellenregister
Educació,Data Source,digital,opendata.swiss,opendata.swiss
Educació,Policy Lever,ratio_1,Augment de salari docent,Erhöhung der Lehrergehälter
Educació,Policy Lever,ratio_2,Programa de formació contínua de docents,Lehrer-Weiterbildungsprogramm
Educació,Policy Lever,ratio_3,Inversió en aules escolars,Investitionen in Klassenzimmer
Educació,Policy Lever,ratio_4,Campanyes de reclutament de docents,Lehrerwerbungskampagnen
Educació,Policy Lever,digital_1,Inversió en TIC escolars,Investitionen in Schul-IKT
Educació,Policy Lever,digital_2,Qualificació de docents en tecnologia digital,Lehrerschulung in digitaler Technologie
Educació,Policy Lever,digital_3,Subvencions per a dispositius informàtics,Zuschüsse für digitale Geräte
Educació,Policy Lever,digital_4,Infraestructura d'emmagatzematge en núvol,Cloud-Infrastruktur für Schulen
Educació,Driver,ratio_1,Pressupost d'educació,Bildungsbudget
Educació,Driver,ratio_2,Disponibilitat de docents,Verfügbarkeit von Lehrern
Educació,Driver,ratio_3,Matrícula estudiantil,Schülerzahl/Anmeldungen
Educació,Driver,ratio_4,Retenció de docents,Lehrerbindung
